Business Name,Input Phone,API Name,API Phone,API Address,Name Match,Address Match,Phone Match,SAB?,Match Status
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,"146, Perundurai Rd",,"146, Perundurai Rd, Perundurai, Tamil Nadu 638052, India",Yes,No,Yes,No,
,,24 Northeast Dr a,,"24 Northeast Dr a, Austin, TX 78723, USA",Yes,No,Yes,No,
,,321 Mantoloking Rd,,"321 Mantoloking Rd, Brick Township, NJ 08723, USA",Yes,Yes,Yes,No,
,,261 Springfield Ave Suite 202,,"261 Springfield Ave Suite 202, Berkeley Heights, NJ 07922, USA",Yes,Yes,Yes,No,
,,North Ave,,"North Ave, Korattur, Chennai, Tamil Nadu 600080, India",Yes,No,Yes,No,
,,Professional Arts Building,,"Professional Arts Building, 100 E Chester Pike, Ridley Park, PA 19078, USA",Yes,Yes,Yes,No,
,,28256 Diehl Rd,,"28256 Diehl Rd, Warrenville, IL 60555, USA",Yes,No,Yes,No,
,,Core Chiropractic,(719) 599-8682,"4730 Centennial Blvd Ste102, Colorado Springs, CO 80919, USA",Yes,Yes,Yes,No,
,,601 Ewing St,,"601 Ewing St, Princeton, NJ 08540, USA",Yes,Yes,Yes,No,
,,511 New Brunswick Ave,,"511 New Brunswick Ave, Fords, NJ 08863, USA",Yes,Yes,Yes,No,
,,Talegaon Dabhade Rd,,"Talegaon Dabhade Rd, Talegaon Dabhade, Maharashtra, India",Yes,No,Yes,No,
,,Burndale Rd,,"Burndale Rd, California 95476, USA",Yes,Yes,Yes,No,
,,8 Hillside Ave #103,,"8 Hillside Ave #103, Great Barrington, MA 01230, USA",Yes,Yes,Yes,No,
,,,,,,,,N/A,No result found
,,1910 Washington Valley Rd STE 4,,"1910 Washington Valley Rd STE 4, Martinsville, NJ 08836, USA",Yes,Yes,Yes,No,
,,Rathinam St,,"Rathinam St, Ganapathy Colony, Royapettah, Chennai, Tamil Nadu, India",Yes,No,Yes,No,
,,Saskatoon City Hall,(306) 975-2476,"222 3rd Ave N, Saskatoon, SK S7K 0J5, Canada",Yes,Yes,Yes,No,
,,1163 Forest Ave,,"1163 Forest Ave, Staten Island, NY 10310, USA",Yes,Yes,Yes,No,
,,2807 Brunswick Pike #2,,"2807 Brunswick Pike #2, Lawrence Township, NJ 08648, USA",Yes,No,Yes,No,
,,495 Union Ave #1b,,"495 Union Ave #1b, Middlesex, NJ 08846, USA",Yes,Yes,Yes,No,
,,1124 Pike St,,"1124 Pike St, Seattle, WA 98101, USA",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,"UPTOWN | 24/7 entertainment centre, Kathipara Urban Square",1800 4253 1111,"Kathipara Bridge, Under, Metro Station Guindy, Kathipara Junction, near Alandur, Ramapuram, Chakrapani Colony, St.Thomas Mount, Tamil Nadu 600016, India",Yes,No,Yes,No,
,,Accoland,099541 71224,"Guwahati-Accoland-Rani Rd, near BSF Headquarters, Pat Gaon, Garbhanga F.V., Assam 781015, India",Yes,No,Yes,No,
,,High St,,"High St, West Tambaram, Tambaram, Chennai, Tamil Nadu 600045, India",Yes,No,Yes,No,
,,Chennai,,"Chennai, Tamil Nadu, India",Yes,Yes,Yes,No,
,,High St,,"High St, West Tambaram, Tambaram, Chennai, Tamil Nadu 600045, India",Yes,No,Yes,No,
,,Savera Hotel,,"Savera Hotel, 146, Dr Radha Krishnan Salai, Mylapore, Chennai, Tamil Nadu 600004, India",Yes,Yes,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
,,Nan's Skin,093614 50558,"Sudharma Apartment, E-13, 1st St, A K Swamy Nagar, Kilpauk, Chennai, Tamil Nadu 600010, India",Yes,No,Yes,No,
